,0
Party_ban,1.211239321827316
Freemv_M,1.1023874983393418
Democ,1.0598840123239373
Relig_freeMK,1.0274832924354993
Literacy_15_24yrs,0.9835006166047116
Pol_cand_restr,0.9786439855342457
Freemv_foreign,0.9748977050911499
Sexwrk_condom,0.9685458979092283
Free_discuss,0.9627364135333856
Electric_acc,0.9479393564747884
Rape_report,0.9419086608872517
Water_acc,0.9351218651283755
Regist_birth,0.9235281864907794
Freemv_dom,0.9099631905869536
Freemv_F,0.8959073350691795
Infant_vaccines,0.8522651822562822
Primary_school,0.8507547340651292
F_school,0.8290372448802708
Piped_water,0.8139304442072406
Polrights_indx,0.8108158360093316
Species_survival,0.7869579425983526
Masskill_ever,0.7634126277261459
Sanitation,0.7622869304427571
Ocean_fisheries,0.7588128055054839
Phys_secF,0.7555197959709983
M_school,0.7467149123915615
Free_polit,0.7427219146466795
Fuel_acc,0.7244292655620066
Pol_right_F,0.7190315219831886
VDEM_Libdem,0.6952617600144535
Soc_powerdist,0.6897601366684082
Ocean_biodiv,0.6891751517179793
Relig_freeCIRI,0.6422793324992387
KOF_Globalis,0.6420037825306958
Ethnic_fract,0.631293580911583
Life_expect,0.6191788769181674
Free_assem,0.6102779592608778
Econ_right_F,0.6077387878171374
Internet_use,0.6059428091531134
Yrs_of_school,0.5949652228109885
Indep_judic,0.5842584579099923
Growth_rate,0.5788231027707615
Pol_terror,0.5776013188985788
Safe_night,0.5659316846260996
Physrights_indx,0.5583393439313051
Gender_equal,0.5539512887362745
Inequality,0.5500786872881656
Wellbeing,0.5465354482853316
FDI,0.5425257075967098
Free_speech,0.527441021468766
Property_rights,0.5241347757593192
Cereal_yield,0.5165685262201207
Stunting_u5s,0.5142652001112458
Ocean_clean,0.5099417717403536
Pol_impris,0.5078046763210375
Trade_openMK,0.49849620277129053
Rape_enclave,0.49204605973861504
CPI,0.48829724267221714
Rape_compl,0.4880044644014524
Rape_prev,0.4864355120613125
Work_rightCIRI,0.4658837149196621
Infrastruct,0.465075792911511
Extrajud_kill,0.46213547570205915
Lack_contraception,0.45123724364511864
F_parliam,0.43320962780581307
Fish_overexploit,0.42803063398502816
Neonatal_mort,0.42287369134569086
Armedcon,0.4196367371446164
Infant_mort,0.41024009305432996
Gov_efficien,0.3999779484172247
GDPpc_growth,0.39770604943810134
Terrestrial_protect,0.3905894328913761
Minority_rule,0.38734032931904916
Prison_pop,0.3405534467331835
Child_lab,0.3402131278440201
Unemploy,0.3270884781218181
Wasting_u5s,0.3228258449112548
Masskill_ongo,0.3179543458369201
Maternal_mort,0.3139620279246695
Broadband,0.3043756897186211
Co2_energy_pc,0.3019882674225231
Co2_fuel,0.284895401719353
Sexwrk_Syphilis,0.27899001554128144
Treated_waste,0.2783002765151973
Climate_chg_vuln,0.2743160090796265
Tuberculosis,0.26543455910726854
ATMs,0.2549149856453686
Poverty,0.24621792592458053
Battle_deaths,0.24451886520316368
Undernourish,0.23621333128595273
Trade_open,0.23573871846204625
Ocean_protect,0.21451239268709604
AIDS_Orph,0.19901710266254308
AIDS_death,0.19023153335679852
GDPpc,0.1665954398276581
Torture,0.1595738667291409
Sexwrk_HIV,0.1581620957784316
Homicides,0.14316271486145013
Urban_population,0.1413258204043389
Freshwater,0.12125696114662476
Forest_change,0.11002889155355541
Rural_population,0.10540485660987256
Sexwrk_size,0.10466866524067174
Social_ineq,0.09028859002207931
Pop_dens,0.05031880310673775
Polkill_apprvd,0.0398718438148059
