,0
GDPpc,0.28830272108843535
Internet_use,0.16595493197278913
Minority_rule,0.1339714285714286
Maternal_mort,0.0622190476190476
Broadband,0.057985714285714286
ATMs,0.05413112244897959
CPI,0.046549999999999994
Stunting_u5s,0.0320360544217687
F_school,0.02393469387755101
Free_discuss,0.019041666666666658
KOF_Globalis,0.0142095238095238
AIDS_Orph,0.013571428571428562
Armedcon,0.012142857142857138
Poverty,0.011142857142857137
Sexwrk_condom,0.008314285714285698
Neonatal_mort,0.0027285714285714318
Literacy_15_24yrs,0.0
Trade_open,0.0
Phys_secF,0.0
Rape_enclave,0.0
Rape_report,0.0
Sexwrk_Syphilis,0.0
Democ,0.0
Soc_powerdist,0.0
Freemv_M,0.0
Freemv_F,0.0
Climate_chg_vuln,0.0
Undernourish,0.0
Work_rightCIRI,0.0
Infrastruct,0.0
Unemploy,0.0
Child_lab,0.0
Wasting_u5s,0.0
Gender_equal,0.0
